ItemID,Sentiment,SentimentText
1037001,0,lunching and bike riding around the village today with lulu love my new bike just wish i didn t have to lock it up all the time
1037002,0,lunching and tweeting hate being at work when its such a nice dayyy
1037003,0,lunching downstairs there goes my taste palate 
1037004,1,lunching in the coffee been and tea leaf
1037005,1,lunching outside
1037006,1,lunchtime i dont think i can revise anymore 
1037007,1,lunchtime already time is passing by fast today
1037008,1,lunchtime and errands are over back to project time 
1037009,1,lunchtime with my peeps
1037010,1,lunchtime and only two jobs left before the tape part is finished
1037011,1,lunchtime i hope the fried rice i made last night tastes good today too
1037012,0,lunchtime waiting for the sis to call so we can head for lunch im hungry 
1037013,0,lunchtime i guess its cake
1037014,1,lunchtime then out all afternoon amp evening will be back tomorrow meantime enjoy your day
1037015,1,lunchtimeâ sandwich here i come 
1037016,1,lurking at the back in lorna s how to do a barcamp pres session
1037017,0,lurking on adamofficial com watching adam lambert videos looking at adam lambert pictures hoping to cure my broken heart 
1037018,1,lurking online for a good tattooist in christchurch nz i decided i wanna get tattooed in every country i visit
1037019,1,lurve lazy sunday naps 
1037020,1,lush afternoon lots of sun bathing in the park with my mateys got quite a good tan
1037021,1,lush day and off to work gutted should be quiet though
1037022,1,lush weather
1037023,0,lushy night last night dreading today dread dread dreading and denying it 
1037024,0,lust has to be the lamest of sins not only can i not do something i can t even think about it
1037025,1,lusting over adam lambert once again
1037026,0,lutherstadt wittenberg one train station gt no way to get a coffee 
1037027,0,luulaa yeah me too but there re always problems about go to shopping i hate that 
1037028,0,luunch time finally work is sooo fucking slow
1037029,0,luv is a kunfusn subject
1037030,0,luv squeemote but wish it had better ui for controlling synced devices
1037031,1,luv u too chickey legs 
1037032,1,luv ya tweetsz nite nite gotta make movesz stay safe out there 2night n dont drink n drive smoochesz 
1037033,0,luv you yes luv you no
1037034,1,luvin the internet shoppin x
1037035,1,luvin the new soca tune boom boom boom love it
1037036,0,luvin the weather bt annoyed that im stuck in revising booo x
1037037,1,luving the weather and my baby kb xxx
1037038,0,luv s this track thx spookaap quot it raining again i can t stand the rain quot hey stonytunes kaaeyl just http blip fm 6t1sb
1037039,0,luvyoooo miss u fasho antoinettetaus gonna mishoo a whole lot me got no momma for 3 weeks rock europe momma style meluvshooo 
1037040,0,lux is slippin maybe it s the rain i know i m bored as hell 
1037041,1,luxury estate handbags www modhumanvintage com
1037042,1,lv amp tt is already 3 on my itunes it hasn t even been out for more than 5 hours in the us i m hoping to buy my copy tomorrow get yours 
1037043,1,lvatt came in the mail for me today and it totally cheered me up i need it nothing like the jonas brothers to brighten my day
1037044,1,lvatt comes out in 1 hour and 12 minutes 
1037045,1,lvatt is a trending topic i got mine in the mail yesterday
1037046,1,lvatt is a trending topic hahahaha 
1037047,1,lvatt is already the 3 album on itunes 
1037048,1,lvatt is so awesome i love it
1037049,1,lvatt lust came out at midnight and its a trending topic wow the jonas brothers are soo cool and i get to see them in 6 days 
1037050,1,lvatt lvatt lvatt lvatt lvatt lines vines amp tryingtimes is finally out amp amp is already 3 on itunes 
1037051,1,lvatt makes my day more happy is a trending topic too cant wait
1037052,1,lvatt needs to come out now
1037053,0,lvatt tomorrow hopefullyy no midnight for me 
1037054,0,lvtt is not in brunei yet anyway i m gonna get it in malaysia
1037055,0,lw ersma fedde le grand hã rn and ig go to my friend and sleep there but i musst go on to my homeworkhelp
1037056,0,lychee juice significantly improves my usmle performance at this rate i ll have diabetes by step date
1037057,0, name 
1037058,0,lyin bed down with some sorta throat problem sucks
1037059,1,lyin gout the back evening out my tan lol
1037060,0,lyin in bed watchin corrie repeats work in morn
1037061,1,lying awake in bed is the best time to think about life 
1037062,0,lying down in my bed can t go anywhere
1037063,1,lying down listening to my ipod realizing that i am the most lucky person alive i truly am the happiest i ve ever been in my life 
1037064,1,lying down comfortably
1037065,0,lying in bed crazy sick 
1037066,1,lying in bed wondering what my cat is looking at lol x
1037067,0,lying in bed and thinking about all the stuff that needs doing tomorrow makes for a restless night
