tweets,label
My Token No. is KOL06442019200931 Sir Requesting you to please help with the pass.I am traveling alone  Need to travel on urgent basisAll documents submitted,Urgent
My father didn't tell me how to live. He lived and let me watch him do it. ~Clarence Budington Kelland Happy Father's Day from American Family Cares Urgent Care Suffolk . . . .,Not-Urgent
My twitter people you need to Join the conversation on the urgent need to translate the Nigerian Music Industry into a thriving digital ecosystem.,Urgent
mystery Package left CT on 16 with delivery in NLR estimated 18 ... and not one status update since. Nada. Nothing urgent but doesn't it seem like it should have been handled somewhere in the past five days?,Not-Urgent
Nah. But it sounds rude. Phonecall should strictly be for urgent important unavoidable purposes if it's from a colleague acquaintance old friend. If it's a bae parent child close friend then fine.,Urgent
Name any other job where this level of incompetence and lack of knowledge would be acceptable and not grounds for immediate dismissal. I'll wait...,Not-Urgent
National assembly renovation more urgent than healthcare this our president na one in town.,Urgent
My Fathers Day has begun by needing to take my yo to Urgent Care and get stitches for a massive head wound. Hell be fine but Im shook.,Not-Urgent
Need a plumber in Greenville Wisconsin? -877-drpipes has h plumbers & emergency plumbers in Greenville WI,Urgent
Need a plumber in Lower Waterford Vermont? -877-drpipes has h plumbers & emergency plumbers in Lower Waterford VT,Not-Urgent
Need a plumber in Ponca City Oklahoma? -877-drpipes has h plumbers & emergency plumbers in Ponca City OK,Urgent
Nah don't bother buying one Saka and Martinelli are quality. We have more urgent needs,Not-Urgent
Need A+ O+ Narayana Hrudayalaya Hospital Hosur Road.Call  via cc,Urgent
"My favorite countdown timer bar for is Sales Countdown Timer Bar from IT Simple, attractive and perfectly configurable as countdown clock for your next big Shopify store sale.",Not-Urgent
Need AB+ plasma for Covid19 fighter Gangaram Hospital.Call via cc,Urgent
my first and immediate reaction when seeing a pretty girl (jinsoul) is to shove mouthfuls of sand just fucking sand into my mouth,Not-Urgent
Need AB+ Plasma for Covid19 fighter Gangaram Kolmet Hospital.Call  via cc,Urgent
My friends up here in Erbil told me about this great Iraqi footballer. He brought great joy to all Iraq. May he rest in peace.,Not-Urgent
Need Any group donors Manipal hospital Old Airport Road.Call  via cc,Urgent
"My goal in Tarkov for the immediate future is to get some more of the level armour, an Altyn, a mm russian made SMG and run up to the mounted turret on reserve to RP as Tachanka",Not-Urgent
Need B+ units PRBC  Units SDP CHL Hospital.Call via,Urgent
Need of the time is to start a MEF - 'Military Emergency Fund' so that General Public can also stand together with the Govt. and contribute. This will surely help I believe.,Not-Urgent
Need B+ve from covid19 recovered plasma donor Venkateswara hospital Dwarka.Call via cc,Urgent
Need units Bve Usha Mullapudi Hospital Gajularamaram.Call  via cc,Not-Urgent
