ItemID,Sentiment,SentimentText
1044999,1,listening to some owl city 
1045000,0,listening to some patron tequila might not be the best song but i m trying to fogot something ughh
1045001,0,listening to some sad songs on my ipod huuu being in love is hard
1045002,1,listening to some songs from the punk goes pop 2 album awesome haha 
1045003,0,listening to some van halen and about to hit the hay got work at 6 30
1045004,1,listening to some zane lowe radio one
1045005,1,listening to something equally as deep as tchaikovsky nsync 
1045006,1,listening to songs
1045007,0,listening to songs helpppp me i can t sleep
1045008,1,listening to soundgarden yay 
1045009,0,listening to spanish music ugh missin him 
1045010,1,listening to squid vicious quot bootleggers dozen quot mashup remix http 947 fm starts now 
1045011,1,listening to starsailor and jonny lang getting ready to go to the side job im staying positive though i more month 
1045012,0,listening to sum41 with me such a beautiful song i love it it reminds me of some old times
1045013,1,listening to sunrise avenue s new album quot popgasm quot me likes 
1045014,1,listening to sunrise radio with the windows wide open oh sunny days
1045015,1,listening to superstition by stevie wonder way past my bedtime good night 
1045016,1,listening to sweet misery by coreylatif
1045017,1,listening to taylor because she hates boys just like i do
1045018,1,listening to taylor swift a place in this world
1045019,1,listening to taylor swift s music i am loving crazier more every day 
1045020,1,listening to taylor s first cd over and over while studying quot as far as i m concerned you re just another picture to burn quot love it
1045021,1,listening to teardrops on my guitar so beautiful tear 
1045022,0,listening to telefon tel aviv their music transports me to somewhere else for those minutes such a shame one member passed on 
1045023,1,listening to the 80 quot s hair band music channel brings up so many memories good times good times
1045024,0,listening to the academy is and just chillin at school well who am i kidding i m dead bored at school
1045025,1,listening to the best days of your life by kellie pickler
1045026,1,listening to the big 80 s at work
1045027,1,listening to the climb
1045028,1,listening to the climb miley cyrus love this song
1045029,1,listening to the commentary track on holiday inn never thought i d see bing crosby in black face but the rest of the movie was cute
1045030,1,listening to the cranberries 
1045031,1,listening to the doors 
1045032,0,listening to the fa cup semi final between arsenal and chelsea as i don t have sky neutral fan but siding towards the gooners
1045033,1,listening to the fantasmic cd i got last time i was at disney world i miss disney world some one take me
1045034,1,listening to the fireworks outside love the sounds of summer
1045035,1,listening to the fray
1045036,0,listening to the fray you found mewhales are beached in africa i wish i could help alas im in socal hopefully there safe
1045037,0,nooooo the ishop is shutting 
1045038,0,nooooo youtube is down i m sad
1045039,0,nooooo it s raining and i haven t gone inside the colosseum yet
1045040,0,nooooo my favorite shirt white with dark blue stripes now have pink spots after being washed i could cry my life will now suck 
1045041,0,nooooo now i m going to see the lion king next week on broadway instead gt gt boohoo i guess it s still bway 
1045042,0,nooooo that can t beeeee 
1045043,0,nooooo another top model marathon can t escape 
1045044,0,nooooo i can only vote in nijmegen crap stupid rules my vote gets lost then
1045045,0,nooooo i has a bad cold eyes streaming sore throat head amp ear amp neck ache i break up saturday this better bloody go amp quick 
1045046,0,nooooo my checking account balancee
1045047,0,nooooo tech support from sonyplaystation finally helped merge my old gap account with my new psn one uncharted 2 beta invite expired 
1045048,0,nooooo someone in desperate housewives is going to die thats my favourite show wah wah
1045049,0,nooooo three red lights
1045050,0,noooooo i m inevitibly going to fail drama
1045051,0,noooooo my xbox is suffering from the rrod
1045052,0,noooooo pettsy you carnt gooooo
1045053,0,noooooo restored iphone now everythings gone
1045054,0,noooooo family guy on bbc3 for the next 3 hours i should really go to bed at somepoint soon though and i ll miss new fg tomorrow grrr
1045055,0,noooooo i am out of cherries i am no longer awesome 
1045056,0,noooooo i don t want jon amp kate to divorce it s really not them i worry about though it s the children
1045057,0,noooooo not even half way home n i m sittin in horrible traffic n i m hungry
1045058,0,noooooo one more day of freedom then life gets tough again i don t want to go back and i will try everything to stay at home 
1045059,0,noooooo not another assignment 
1045060,1,noooooo bing just passed me on twitter curse you bing glad to see them drumming up such interest http twitter com bing
1045061,0,noooooo sore throat
1045062,0,noooooo i mean yes school tommorrow 
1045063,0,noooooo why change the twitter mob thing to a different date i can t make it now 
1045064,0,noooooo they took the parking spot squarespace and trackle 
1045065,0,nooooooo beverlyhillq your grandmother marilyn chambers was found dead what happened are you ok 
1045066,0,nooooooo couldnt get the tickets for jonas brothers in wembly
1045067,0,nooooooo i misssssed it i didnt know what channe lit was on my friends
1045068,0,nooooooo i don t want niley together
1045069,0,nooooooo why did aar get moved to club 101
1045070,0,nooooooo here comes a migraine i hope i can make it home from work before it gets too bad 
1045071,0,nooooooo poor julian i can t beleave that group won bgt julian has more talent than all of them 
1045072,0,noooooooo familyforce5 is not on trending topics anymore me so saddd
1045073,0,noooooooo just found out i might have to join the rat race damn u life 
1045074,0,noooooooo movie6 net is being shut down due to legal issues 
1045075,0,noooooooo i just wrote a whole blog and lost it 
1045076,1,meeting with a modeling agency tomorrow eeeee then movies in the park amp then the next day i will finally be sixteeeeen life is good
1045077,0,meeting with all department http myloc me 4flv
1045078,1,meeting with clients
1045079,0,meeting with head of year tomorrow 
1045080,0,meeting with my dissertation adviser at 2 v nervous am i on the right track 3 days till essays due 5 till exam 10 till uni is all over
1045081,1,meeting with our youth pastor to iron out some things for our do hard things summer book study 
1045082,1,meeting with senator tom libous
1045083,1,meeting with the band today then to the studio today should be a blast 
1045084,1,meeting with the pr comm they re pretty self sufficient
1045085,1,meeting you was fate becoming your friend was a choice but falling in love with you i had no control over
1045086,1,meeting zoe for lunch the barge in woolstone then off to see bletchley park 
1045087,0,meeting meeting meeting all the day long
1045088,0,meeting still tired http short to gaco
1045089,1,meeting check now lunch and relaxing
1045090,1,meetings how refreshing http myloc me 40wl
1045091,1,meetings getting lot of transitions responsibilities amp work increasing good at recession
1045092,0,meetings aren t always boring but i wonder why i m always sleepy towards the close
1045093,0,meetings at work make me sad i don t know why 
1045094,1,meetings today 3 definitely but trying for 4 i love the re charge i get outta them
1045095,1,meetings until 11am and then i am free happy days 
1045096,0,meezy if i had a verizon phone i d give you it
1045097,0,meg you hyper again today remember cor won t be available today
1045098,0,mega bored and superrr hungry dylan just left and i miss him ilovedylan05 07 09
1045099,0,mega bummer we were super ready for the bloodbath got to the theater just to find that dead alive live had been cancelled
1045100,0,mega bumout no new song
1045101,1,mega excited about formal now 
1045102,1,mega hugs to everyone who s having manilaarchumania withdrawal syndrome he will be back guys believe 
1045103,1,mega man 9 beaten it still feels just as good to beat a mega man game as it did when i was 9 
1045104,1,mega monster munch
1045105,1,mega prayer night just started expecting big things
1045106,1,mega prayer night was soooo goood amazing amazing anything is possible with my god trust him incredible night 
1045107,1,mega sports camp was awesome and the girls are gonna win offering and pastor t has to get a pie in the face 
1045108,0,mega tired from waking up at 5 30 never gonna do it again
1045109,0,mega tired my eyes hurt friday hurry up and come 
1045110,0,megabored help mee i want to watch one of my new anime dvds but my dvd plater is bussst bad times sad katieee x
1045111,0,mega fail on the chair front though brought my camp seat but mall security says i can t use it
1045112,0,megaman 2 5d wow capcom please don t chuck a square enix and put a cease and desist order on this project
1045113,0,megan equals murder 
1045114,0,megan fox you re not hot you look really ugly tonight shia should have introduced that preview 
1045115,0,noooooooo my sunchips are dunzo
1045116,0,noooooooo it expired i missed my chance for the free ringtone my life is over lolz jokes haha but i did really want that ringtone
1045117,0,noooooooo another headache hopefully not a migraine
1045118,0,nooooooooo my computer won t start 
1045119,0,nooooooooo he s back
1045120,0,nooooooooo my directv is messing up now
1045121,0,nooooooooo my earphones are dead how will i hear music now today is no my day and my night 
1045122,0,nooooooooo the virgin megastore closed i actually liked that store where will i get my cds now bestbuy fuck you recession 
1045123,0,noooooooooo your iphone cannot be updated at this time because the activation server is unavailable
1045124,0,noooooooooo more security checks this is gay
1045125,0,noooooooooo they took my spotify away i love it so much
1045126,0,noooooooooo youtube is down for maintenance
1045127,0,nooooooooooo can t talk to my buddy anymore she can t tweet right now
1045128,0,nooooooooooo dancevic didnt win 
1045129,0,nooooooooooo rain please stop raining before i have to drive home
1045130,0,nooooooooooo theres a wasp
1045131,0,nooooooooooo it s raning 
1045132,0,nooooooooooo i accidently deleted my fav picture off my camera now i ll never get it back fuckkkk 
1045133,0,nooooooooooo i think my other pc has a virus or more but i cant tell coz 1 anti viral thing says there are no threats but the other 
1045134,0,noooooooooooo ablett out for 3 weeks not 1 ablett and hartlet both out still got brent harvey on the bench dreamteam afl
